k1,k2,magnetic_band,energy_meV
0.1,0.0,29,-36.290965238447455
0.1,0.0,30,-35.98496287301998
0.1,0.0,31,-34.196915552205866
0.1,0.0,32,-34.09983901878686
0.1,0.0,33,-31.62542646919198
0.1,0.0,34,-30.871692135438565
0.1,0.0,35,-28.866155659834277
0.1,0.0,36,-26.233813905650237
0.1,0.0,37,-25.561829251699976
0.1,0.0,38,-21.195571754137717
0.1,0.0,39,-21.06305707260421
0.1,0.0,40,-14.967427939013874
0.1,0.0,41,-7.799794596755149
0.1,0.0,42,-7.532285469519962
0.1,0.0,43,-5.9260768325461015
0.1,0.0,44,-4.694906019266426
0.1,0.0,45,-4.430073410643118
0.1,0.0,46,-3.5100746153029405
0.1,0.0,47,-2.9497829202705788
0.1,0.0,48,-2.14107941483897
0.1,0.0,49,-1.29404689175378
0.1,0.0,50,-0.2847993088026186
0.1,0.0,51,0.7987785501288442
0.1,0.0,52,2.0466369038262116
0.1,0.0,53,3.3417655375673547
0.1,0.0,54,4.748728346591136
0.1,0.0,55,6.277790596513114
0.1,0.0,56,7.911843079760985
0.1,0.0,57,9.621744168155246
0.1,0.0,58,11.403377676166244
0.1,0.0,59,13.273705377204848
0.1,0.0,60,15.168721479397092
0.1,0.0,61,16.94357469268022
0.1,0.0,62,16.97585705910846
0.1,0.0,63,17.047317160422583
0.1,0.0,64,18.444055154940116
0.1,0.0,65,18.72917928686333
0.1,0.0,66,18.792331365918077
0.1,0.0,67,19.46473384035221
0.1,0.0,68,19.702661773148435
0.1,0.0,69,20.060653622544578
0.1,0.0,70,20.495476321813754
0.1,0.0,71,20.77490841441653
0.1,0.0,72,21.095502468445005
0.1,0.0,73,21.306215042061396
0.1,0.0,74,21.73061937945084
0.1,0.0,75,21.804301220604902
0.1,0.0,76,22.287639984208838
0.1,0.0,77,22.893234070549582
0.1,0.0,78,22.92613277612259
0.1,0.0,79,25.331757190942383
0.1,0.0,80,31.462620315058672
0.1,0.0,81,33.071647014766626
0.1,0.0,82,35.8694582254246
0.1,0.0,83,36.37873886890647
0.1,0.0,84,37.975926777441046
0.1,0.0,85,39.85331933671612
0.1,0.0,86,40.43337622137273
0.1,0.0,87,42.140958133564816
0.1,0.0,88,42.45634176494422
0.1,0.0,89,43.80135250934433
0.1,0.0,90,44.96167784796009
0.1,0.0,91,45.63106588139816
0.1,0.0,92,46.769459727711215
0.1,0.0,93,47.313267296617724
0.1,0.0,94,48.27973587112063
0.1,0.0,95,49.27913395541016
0.1,0.0,96,50.42189362353423
0.1,0.0,97,51.194745699852675
0.1,0.0,98,51.59444528706919
0.1,0.0,99,52.404375241657306
0.1,0.0,100,53.25201576040021
0.1,0.0,101,53.81493185150737
0.1,0.0,102,54.50743163585944
0.1,0.0,103,56.77973570387877
0.1,0.0,104,59.07751972646061
0.1,0.0,105,61.5376661001793
0.1,0.0,106,64.16378332947775
0.1,0.0,107,65.55536099319534
0.1,0.0,108,67.16062567276771
0.1,0.0,109,69.07494966099397
0.1,0.0,110,70.96432251549196
0.1,0.0,111,72.40485786593112
0.1,0.0,112,74.62048260695934
0.1,0.0,113,76.96213451924874
0.1,0.0,114,79.55521553771959
0.1,0.0,115,82.64359614175468
0.1,0.0,116,86.08085335709816
0.1,0.0,117,90.8864001928472
0.1,0.0,118,95.85359630669289
0.125,0.0,1,-93.57910964339271
0.125,0.0,2,-86.46207675035467
0.125,0.0,3,-81.51789328795985
0.125,0.0,4,-77.4308261117582
0.125,0.0,5,-74.87475467583198
0.125,0.0,6,-72.42294573559295
0.125,0.0,7,-68.93353991046362
0.125,0.0,8,-66.53765956934913
0.125,0.0,9,-64.80838782946651
0.125,0.0,10,-62.17134143179777
0.125,0.0,11,-60.053181218849346
0.125,0.0,12,-57.95400376549014
0.125,0.0,13,-55.28314824011798
0.125,0.0,14,-54.14504883666936
0.125,0.0,15,-52.029813070080024
0.125,0.0,16,-50.26679235816758
0.125,0.0,17,-48.54925518367915
0.125,0.0,18,-47.65958851454556
0.125,0.0,19,-45.43100055247601
0.125,0.0,20,-44.48661790683386
0.125,0.0,21,-43.27416383567126
0.125,0.0,22,-41.5835351886671
0.125,0.0,23,-40.740514364938775
0.125,0.0,24,-39.94903207726779
0.125,0.0,25,-38.63925363588473
0.125,0.0,26,-37.865746190037555
0.125,0.0,27,-37.397317533802635
0.125,0.0,28,-36.683717233416246
0.125,0.0,29,-36.305562755667864
0.125,0.0,30,-35.96120576775178
0.125,0.0,31,-34.19336311438203
0.125,0.0,32,-34.10833653947021
0.125,0.0,33,-31.616328506402013
0.125,0.0,34,-30.87243571921313
0.125,0.0,35,-28.870795786306815
0.125,0.0,36,-26.23326131280544
0.125,0.0,37,-25.56064126050154
0.125,0.0,38,-21.195575171234637
0.125,0.0,39,-21.063471601209784
0.125,0.0,40,-14.967355403073782
0.125,0.0,41,-7.799713692530446
0.125,0.0,42,-7.532341862584019
0.125,0.0,43,-5.926300631547477
0.125,0.0,44,-4.690591097491648
0.125,0.0,45,-4.438321312035114
0.125,0.0,46,-3.488127171413524
0.125,0.0,47,-2.9822316706116254
0.125,0.0,48,-2.1157105246420542
0.125,0.0,49,-1.3102300210435516
0.125,0.0,50,-0.274598141915817
0.125,0.0,51,0.7898157741588534
0.125,0.0,52,2.054439190207802
0.125,0.0,53,3.3355457982565326
0.125,0.0,54,4.753006180723361
0.125,0.0,55,6.2753583317011845
0.125,0.0,56,7.912863980967131
0.125,0.0,57,9.621471851245971
0.125,0.0,58,11.403401164588203
0.125,0.0,59,13.273734694670253
0.125,0.0,60,15.168699445013829
0.125,0.0,61,16.944009404055624
0.125,0.0,62,16.977142703912342
0.125,0.0,63,17.045288846390164
0.125,0.0,64,18.447142091045592
0.125,0.0,65,18.729346709239714
0.125,0.0,66,18.78831426477939
0.125,0.0,67,19.46178874705393
0.125,0.0,68,19.709657083591566
0.125,0.0,69,20.06145398801702
0.125,0.0,70,20.475301367136666
0.125,0.0,71,20.81641585520606
0.125,0.0,72,21.053118852547385
0.125,0.0,73,21.32302798364877
0.125,0.0,74,21.755837838678346
0.125,0.0,75,21.77878180004621
0.125,0.0,76,22.288261176859336
0.125,0.0,77,22.895076430599953
0.125,0.0,78,22.924420865121938
0.125,0.0,79,25.331835851545463
0.125,0.0,80,31.46213159899581
0.125,0.0,81,33.07111087099459
0.125,0.0,82,35.87435339280454
0.125,0.0,83,36.37915298568673
0.125,0.0,84,37.96704491682796
0.125,0.0,85,39.864350810828974
0.125,0.0,86,40.42337861010506
0.125,0.0,87,42.143789812206506
0.125,0.0,88,42.46299539370041
0.125,0.0,89,43.80789850994737
0.125,0.0,90,44.926125261709934
0.125,0.0,91,45.63563390641787
0.125,0.0,92,46.878268066425896
0.125,0.0,93,47.21327466501462
0.125,0.0,94,48.2502955622382
0.125,0.0,95,49.36263497135216
0.125,0.0,96,50.36241045606248
0.125,0.0,97,51.238516154444355
0.125,0.0,98,51.51360967480252
0.125,0.0,99,52.45779049172273
0.125,0.0,100,53.34824688103195
0.125,0.0,101,53.727303536059054
0.125,0.0,102,54.49079645754596
0.125,0.0,103,56.78507669530898
0.125,0.0,104,59.086280882788785
0.125,0.0,105,61.49810184063141
0.125,0.0,106,64.21130762988794
0.125,0.0,107,65.58017495042594
0.125,0.0,108,67.14081404449722
0.125,0.0,109,69.05172536752325
0.125,0.0,110,70.91509687176044
0.125,0.0,111,72.46836738907682
0.125,0.0,112,74.5924125169311
0.125,0.0,113,76.99932412993115
0.125,0.0,114,79.53252873937973
0.125,0.0,115,82.64437330187594
0.125,0.0,116,86.08204158172092
0.125,0.0,117,90.88656980977467
0.125,0.0,118,95.85383858716492
0.15,0.0,1,-93.5803799117501
0.15,0.0,2,-86.45004877512042
0.15,0.0,3,-81.54958260856733
0.15,0.0,4,-77.40078442415705
0.15,0.0,5,-74.86533341110706
0.15,0.0,6,-72.42954410277767
0.15,0.0,7,-69.0091484503437
0.15,0.0,8,-66.43552420938207
0.15,0.0,9,-64.79586532039801
0.15,0.0,10,-62.27572608663829
0.15,0.0,11,-59.995554079603295
0.15,0.0,12,-57.951133760099765
0.15,0.0,13,-55.25763564491115
0.15,0.0,14,-54.210953573039546
0.15,0.0,15,-51.96092505784188
0.15,0.0,16,-50.31325611410375
0.15,0.0,17,-48.54907242387631
0.15,0.0,18,-47.63880924513086
0.15,0.0,19,-45.483509047373474
0.15,0.0,20,-44.43715220705812
0.15,0.0,21,-43.25496781051706
0.15,0.0,22,-41.64565925347014
0.15,0.0,23,-40.70081635943686
0.15,0.0,24,-39.92367945307859
0.15,0.0,25,-38.68457579575556
0.15,0.0,26,-37.874631104133954
0.15,0.0,27,-37.40105956778666
0.15,0.0,28,-36.645185095179215
0.15,0.0,29,-36.29096523844771
0.15,0.0,30,-35.98496287301998
0.15,0.0,31,-34.19691555220585
0.15,0.0,32,-34.09983901878653
0.15,0.0,33,-31.625426469191595
0.15,0.0,34,-30.87169213543862
0.15,0.0,35,-28.86615565983385
0.15,0.0,36,-26.23381390565025
0.15,0.0,37,-25.561829251699535
0.15,0.0,38,-21.195571754137532
0.15,0.0,39,-21.06305707260418
0.15,0.0,40,-14.967427939013731
0.15,0.0,41,-7.799794596754936
